Employee_ID,Text_Type,Content
E001,Exit Interview,"I've been thinking about leaving for a while. The workload has become overwhelming and I feel undervalued. My manager never acknowledges my hard work."
E002,Exit Interview,"The main reason I'm leaving is the lack of career growth. I've been in the same position for 3 years with no promotion opportunities."
E003,Transfer Request,"I'm interested in moving to the IT department. I believe my skills would be better utilized there and I'm willing to learn new technologies."
E004,Exit Interview,"Salary was a major factor. I received an offer from a competitor that pays 20% more. The company didn't counter-offer."
E005,Exit Interview,"Work-life balance has been terrible lately. Constant overtime with no recognition. I need to prioritize my mental health."
E006,Transfer Request,"I'd like to transfer to the Sales team. I think my communication skills would be a great fit and I want to explore that path."
E007,Exit Interview,"Management changes made the environment toxic. New policies were imposed without consultation. Morale has dropped significantly."
E008,Exit Interview,"I'm relocating to another city due to family reasons. Unfortunately, remote work isn't an option in my current role."
E009,Exit Interview,"The commute has become unbearable - 2 hours each way. I've been looking for opportunities closer to home."
E010,Exit Interview,"Lack of training and development. The company doesn't invest in upskilling employees. I want to grow professionally."
E011,Exit Interview,"Poor relationship with my direct manager. We have different work styles and communication has broken down."
E012,Transfer Request,"Interested in moving to a different department to broaden my experience. I'm a quick learner and adaptable."
E013,Exit Interview,"Better benefits package elsewhere. The new company offers better health insurance and retirement plans."
E014,Exit Interview,"Feeling burnt out. The high-pressure environment without adequate support has taken a toll on my wellbeing."
E015,Exit Interview,"Company direction has changed and I no longer align with the values. The focus on profits over people is concerning."
E016,Exit Interview,"I found a better opportunity that matches my career aspirations. This role wasn't challenging enough for me."
E017,Exit Interview,"Conflicts with colleagues created a hostile work environment. HR didn't address my concerns effectively."
E018,Exit Interview,"Returning to school for further education. This requires more flexibility than my current position can provide."
E019,Exit Interview,"Company location is too far from my family. I've been looking for something closer to home."
E020,Exit Interview,"Lack of transparency in decision-making. Employees are kept in the dark about important changes."
